"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
20,103,"20103070700","Census Tract 707, Leavenworth County, Kansas",2600,388,320,458,437,424,407,314,69,22,40,76,36,61,944,55,661,0,165,10,144,17,56655,38438,3611,282,592,180,3665,592,"Census Tract 707, Leavenworth County, Kansas","20103070700","KANSAS CITY, MO-KS",27.2307692307692,34.4230769230769,31.9615384615385,28.9808917197452,36.9426751592357,30.8917197452229,3.42679127725857,8.7378640776699,7.80947106064802,30.4054054054054
20,103,"20103071000","Census Tract 710, Leavenworth County, Kansas",2645,399,381,407,438,412,396,78,16,0,15,0,0,47,879,40,833,60,9,0,20,0,75893,105833,3551,237,94,0,3551,94,"Census Tract 710, Leavenworth County, Kansas","20103071000","KANSAS CITY, MO-KS",29.4896030245747,31.9470699432892,30.5482041587902,20.5128205128205,19.2307692307692,60.2564102564103,5.8411214953271,0,6.67417628836947,0
20,103,"20103071202","Census Tract 712.02, Leavenworth County, Kansas",2483,302,321,469,328,418,528,91,0,0,21,8,36,26,983,22,903,46,46,0,26,0,98192,NA,3469,59,203,11,3469,203,"Census Tract 712.02, Leavenworth County, Kansas","20103071202","KANSAS CITY, MO-KS",25.0906161900926,32.0982682239227,38.0990737011679,0,31.8681318681319,68.1318681318681,3.60551431601273,0,1.70077832228308,5.41871921182266
20,103,"20103070900","Census Tract 709, Leavenworth County, Kansas",2233,473,306,363,402,260,227,0,0,0,0,0,0,0,944,110,600,24,0,0,0,0,70060,NA,3021,194,0,0,3067,0,"Census Tract 709, Leavenworth County, Kansas","20103070900","KANSAS CITY, MO-KS",34.8858038513211,34.2588446036722,21.8092252575011,NA,NA,NA,8.67875647668394,NA,6.42171466401854,NA
20,103,"20103070300","Census Tract 703, Leavenworth County, Kansas",3274,488,448,481,721,606,371,364,76,73,33,82,0,27,1302,34,1061,32,159,70,234,0,54943,55761,4719,530,583,43,4719,583,"Census Tract 703, Leavenworth County, Kansas","20103070300","KANSAS CITY, MO-KS",28.588882101405,36.7135003054368,29.8411728772144,40.9340659340659,31.5934065934066,7.41758241758242,2.79305966991113,17.8117048346056,11.2311930493749,7.37564322469983
20,103,"20103070200","Census Tract 702, Leavenworth County, Kansas",1435,222,278,201,401,61,96,204,53,5,66,13,13,30,475,24,747,52,123,9,19,0,37361,34881,2378,424,255,11,2388,255,"Census Tract 702, Leavenworth County, Kansas","20103070200","KANSAS CITY, MO-KS",34.8432055749129,41.9512195121951,10.9407665505226,28.4313725490196,38.7254901960784,21.078431372549,6.21931260229133,6.33802816901408,17.8301093355761,4.31372549019608
20,103,"20103071101","Census Tract 711.01, Leavenworth County, Kansas",5045,495,658,617,981,1312,901,744,90,26,44,57,203,236,2148,15,1600,20,407,27,290,0,99781,123507,7628,522,1264,88,7677,1276,"Census Tract 711.01, Leavenworth County, Kansas","20103071101","KANSAS CITY, MO-KS",22.8543111992071,31.6749256689792,43.8652130822597,15.5913978494624,13.5752688172043,59.005376344086,0.933831376734258,3.87374461979914,6.84320922915574,6.9620253164557
20,103,"20103070500","Census Tract 705, Leavenworth County, Kansas",2260,317,473,240,369,272,311,719,221,136,99,110,29,20,602,73,724,28,223,4,169,0,47723,21792,3025,711,895,389,3302,1037,"Census Tract 705, Leavenworth County, Kansas","20103070500","KANSAS CITY, MO-KS",34.9557522123894,26.9469026548673,25.7964601769911,49.6522948539638,29.0681502086231,6.81502086230876,7.61689291101056,1.02040816326531,23.504132231405,43.463687150838
20,103,"20103071203","Census Tract 712.03, Leavenworth County, Kansas",4820,809,675,625,640,886,939,0,0,0,0,0,0,0,2086,193,1691,84,0,0,0,0,74600,NA,7204,262,0,0,7204,47,"Census Tract 712.03, Leavenworth County, Kansas","20103071203","KANSAS CITY, MO-KS",30.7883817427386,26.2448132780083,37.8630705394191,NA,NA,NA,7.33386285411702,NA,3.63686840644087,NA
20,103,"20103071600","Census Tract 716, Leavenworth County, Kansas",1812,384,318,329,327,195,211,13,7,0,0,6,0,0,709,12,609,5,0,0,6,0,77019,NA,2693,116,13,0,2693,13,"Census Tract 716, Leavenworth County, Kansas","20103071600","KANSAS CITY, MO-KS",38.7417218543046,36.2030905077263,22.4061810154525,53.8461538461538,46.1538461538462,0,1.28983308042489,0,4.30746379502414,0
20,103,"20103071102","Census Tract 711.02, Leavenworth County, Kansas",3171,786,289,674,289,328,321,664,261,4,232,16,4,0,779,43,646,7,15,6,0,0,53902,NA,2859,306,114,44,4213,765,"Census Tract 711.02, Leavenworth County, Kansas","20103071102","KANSAS CITY, MO-KS",33.9009776095869,30.3689687795648,20.4667297382529,39.9096385542169,37.3493975903614,0.602409638554217,3.50877192982456,40,10.7030430220357,38.5964912280702
20,103,"20103071400","Census Tract 714, Leavenworth County, Kansas",2965,456,489,424,439,456,365,0,0,0,0,0,0,0,1080,53,951,10,0,0,0,0,75341,NA,3928,248,0,0,3928,0,"Census Tract 714, Leavenworth County, Kansas","20103071400","KANSAS CITY, MO-KS",31.8718381112985,29.106239460371,27.6897133220911,NA,NA,NA,3.10192023633678,NA,6.31364562118126,NA
20,103,"20103981900","Census Tract 9819, Leavenworth County, Kansas",3379,554,64,583,265,1053,604,995,231,0,322,18,171,73,1247,0,485,34,245,0,67,23,91250,88958,4550,238,488,57,5986,1245,"Census Tract 9819, Leavenworth County, Kansas","20103981900","KANSAS CITY, MO-KS",18.2894347440071,25.0961823024563,49.0381769754365,23.21608040201,34.1708542713568,24.5226130653266,1.96304849884527,7.37179487179487,5.23076923076923,11.6803278688525
20,103,"20103070400","Census Tract 704, Leavenworth County, Kansas",2048,325,350,310,432,161,282,372,21,63,112,65,61,17,620,62,776,40,184,0,139,0,49734,61021,2724,337,452,32,2724,452,"Census Tract 704, Leavenworth County, Kansas","20103070400","KANSAS CITY, MO-KS",32.958984375,36.23046875,21.630859375,22.5806451612903,47.5806451612903,20.9677419354839,7.30659025787966,0,12.3715124816446,7.07964601769912
20,103,"20103070100","Census Tract 701, Leavenworth County, Kansas",968,180,137,162,184,104,93,186,23,0,42,27,46,28,310,54,239,54,86,0,28,0,30303,NA,1352,398,266,76,1354,274,"Census Tract 701, Leavenworth County, Kansas","20103070100","KANSAS CITY, MO-KS",32.7479338842975,35.7438016528926,20.3512396694215,12.3655913978495,37.0967741935484,39.7849462365591,19.672131147541,0,29.4378698224852,28.5714285714286
20,103,"20103071800","Census Tract 718, Leavenworth County, Kansas",3886,566,664,606,773,495,478,37,5,4,0,5,23,0,1501,30,1472,105,23,0,0,0,55455,NA,5562,416,23,0,5645,53,"Census Tract 718, Leavenworth County, Kansas","20103071800","KANSAS CITY, MO-KS",31.6520844055584,35.4863612969635,25.0386001029336,24.3243243243243,13.5135135135135,62.1621621621622,4.54086781029263,0,7.47932398417835,0
20,121,"20121100700","Census Tract 1007, Miami County, Kansas",3386,727,790,564,778,170,187,94,17,24,17,23,13,0,964,31,1196,67,13,0,14,0,47964,NA,4961,1123,41,0,5168,138,"Census Tract 1007, Miami County, Kansas","20121100700","KANSAS CITY, MO-KS",44.8021264028352,39.6337861783816,10.5434140578854,43.6170212765958,42.5531914893617,13.8297872340426,4.53703703703704,0,22.6365652086273,0
20,121,"20121100400","Census Tract 1004, Miami County, Kansas",2472,367,337,433,495,338,336,0,0,0,0,0,0,0,1059,39,781,50,0,0,0,0,54900,NA,3566,354,0,0,3643,0,"Census Tract 1004, Miami County, Kansas","20121100400","KANSAS CITY, MO-KS",28.4789644012945,37.5404530744337,27.2653721682848,NA,NA,NA,4.83695652173913,NA,9.92708917554683,NA
20,121,"20121100200","Census Tract 1002, Miami County, Kansas",2972,477,401,378,438,610,570,24,0,0,0,15,0,9,1238,17,1100,33,0,0,17,0,90270,NA,4394,176,44,0,4394,44,"Census Tract 1002, Miami County, Kansas","20121100200","KANSAS CITY, MO-KS",29.5423956931359,27.4562584118439,39.7039030955585,0,62.5,37.5,2.13857998289136,0,4.00546199362767,0
20,121,"20121100300","Census Tract 1003, Miami County, Kansas",1919,197,239,448,298,302,368,0,0,0,0,0,0,0,772,15,637,21,0,0,0,0,74135,NA,3016,100,0,0,3028,0,"Census Tract 1003, Miami County, Kansas","20121100300","KANSAS CITY, MO-KS",22.7201667535175,38.8744137571652,34.9140177175612,NA,NA,NA,2.55500354861604,NA,3.31564986737401,NA
20,121,"20121100602","Census Tract 1006.02, Miami County, Kansas",1459,254,265,308,301,103,148,0,0,0,0,0,0,0,561,26,450,11,0,0,0,0,68400,NA,2007,92,0,0,2007,0,"Census Tract 1006.02, Miami County, Kansas","20121100602","KANSAS CITY, MO-KS",35.5723098012337,41.7409184372858,17.2035640849897,NA,NA,NA,3.65974282888229,NA,4.58395615346288,NA
20,121,"20121100601","Census Tract 1006.01, Miami County, Kansas",3668,629,585,588,876,302,459,92,28,9,0,28,0,14,1354,41,1318,37,13,13,31,17,54127,NA,5515,699,124,13,5687,141,"Census Tract 1006.01, Miami County, Kansas","20121100601","KANSAS CITY, MO-KS",33.0970556161396,39.9127589967285,20.7470010905125,40.2173913043478,30.4347826086957,15.2173913043478,2.91916167664671,68.1818181818182,12.6745240253853,10.4838709677419
20,121,"20121100500","Census Tract 1005, Miami County, Kansas",3077,504,571,595,583,302,378,1,1,0,0,0,0,0,1136,25,1087,2,1,0,0,0,73926,NA,4222,160,1,0,4244,1,"Census Tract 1005, Miami County, Kansas","20121100500","KANSAS CITY, MO-KS",34.9366265843354,38.2840428989275,22.0994475138122,100,0,0,1.21457489878543,0,3.78967314069162,0
20,121,"20121100100","Census Tract 1001, Miami County, Kansas",2271,272,223,483,486,318,362,47,24,0,0,23,0,0,839,81,895,8,24,0,46,0,91190,NA,3199,162,128,0,3199,128,"Census Tract 1001, Miami County, Kansas","20121100100","KANSAS CITY, MO-KS",21.7965653896962,42.668428005284,29.9427564949362,51.063829787234,48.936170212766,0,5.13264129181084,0,5.06408252578931,0
20,209,"20209045200","Census Tract 452, Wyandotte County, Kansas",1999,149,129,223,196,549,533,251,0,10,17,91,45,56,1123,25,879,11,74,0,148,12,41265,NA,3226,858,288,122,3242,288,"Census Tract 452, Wyandotte County, Kansas","20209045200","KANSAS CITY, MO-KS",13.9069534767384,20.9604802401201,54.1270635317659,3.98406374501992,43.0278884462151,40.2390438247012,1.7982017982018,5.40540540540541,26.5964042157471,42.3611111111111
20,209,"20209043500","Census Tract 435, Wyandotte County, Kansas",964,183,185,115,149,29,42,10,0,0,0,10,0,0,362,31,289,17,0,0,10,0,47721,NA,1420,181,10,0,1435,10,"Census Tract 435, Wyandotte County, Kansas","20209043500","KANSAS CITY, MO-KS",38.1742738589212,27.3858921161826,7.36514522821577,0,100,0,7.37327188940092,0,12.7464788732394,0
20,209,"20209042001","Census Tract 420.01, Wyandotte County, Kansas",623,198,71,79,73,34,14,75,7,5,33,8,0,0,197,0,217,30,0,0,13,8,39219,NA,755,275,34,11,1029,89,"Census Tract 420.01, Wyandotte County, Kansas","20209042001","KANSAS CITY, MO-KS",43.1781701444623,24.3980738362761,7.70465489566613,16,54.6666666666667,0,7.2463768115942,61.5384615384615,36.4238410596026,32.3529411764706
20,209,"20209042002","Census Tract 420.02, Wyandotte County, Kansas",474,83,47,66,38,21,0,135,50,14,6,22,0,0,229,34,141,24,21,5,5,0,22163,8807,818,377,135,105,818,135,"Census Tract 420.02, Wyandotte County, Kansas","20209042002","KANSAS CITY, MO-KS",27.4261603375527,21.9409282700422,4.43037974683544,47.4074074074074,20.7407407407407,0,15.6756756756757,19.2307692307692,46.0880195599022,77.7777777777778
20,209,"20209042501","Census Tract 425.01, Wyandotte County, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"Census Tract 425.01, Wyandotte County, Kansas","20209042501","KANSAS CITY, MO-KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,209,"20209043000","Census Tract 430, Wyandotte County, Kansas",56,21,7,4,8,3,0,4,0,0,4,0,0,0,35,0,7,0,4,4,0,0,31985,NA,106,33,4,4,106,4,"Census Tract 430, Wyandotte County, Kansas","20209043000","KANSAS CITY, MO-KS",50,21.4285714285714,5.35714285714286,0,100,0,0,100,31.1320754716981,100
20,209,"20209044806","Census Tract 448.06, Wyandotte County, Kansas",443,41,52,68,70,107,90,0,0,0,0,0,0,0,195,0,131,0,0,0,0,0,93750,NA,563,15,0,0,563,0,"Census Tract 448.06, Wyandotte County, Kansas","20209044806","KANSAS CITY, MO-KS",20.9932279909707,31.1512415349887,44.4695259593679,NA,NA,NA,0,NA,2.66429840142096,NA
20,209,"20209042600","Census Tract 426, Wyandotte County, Kansas",1066,209,182,69,64,16,2,13,13,0,0,0,0,0,396,74,270,33,0,0,0,0,31341,NA,1573,428,13,10,1585,13,"Census Tract 426, Wyandotte County, Kansas","20209042600","KANSAS CITY, MO-KS",36.6791744840525,12.4765478424015,1.68855534709193,100,0,0,16.0660660660661,NA,27.2091544818818,76.9230769230769
20,209,"20209042200","Census Tract 422, Wyandotte County, Kansas",821,119,174,79,85,20,40,43,8,14,0,10,0,0,400,15,300,13,24,0,30,16,42578,38333,1281,208,99,2,1281,99,"Census Tract 422, Wyandotte County, Kansas","20209042200","KANSAS CITY, MO-KS",35.6881851400731,19.9756394640682,7.30816077953715,51.1627906976744,23.2558139534884,0,4,29.6296296296296,16.2373145979703,2.02020202020202
20,209,"20209044805","Census Tract 448.05, Wyandotte County, Kansas",1418,205,205,208,265,172,204,138,30,0,16,23,18,0,569,35,577,18,93,0,32,0,70625,47045,2129,171,212,6,2138,212,"Census Tract 448.05, Wyandotte County, Kansas","20209044805","KANSAS CITY, MO-KS",28.9139633286319,33.3568406205924,26.5162200282087,21.7391304347826,28.2608695652174,13.0434782608696,4.62478184991274,0,8.03193987787694,2.83018867924528
20,209,"20209042300","Census Tract 423, Wyandotte County, Kansas",1201,176,119,146,78,94,33,113,8,23,26,15,0,0,551,39,329,14,33,0,7,0,27182,8848,1913,743,233,121,1913,233,"Census Tract 423, Wyandotte County, Kansas","20209042300","KANSAS CITY, MO-KS",24.5628642797669,18.6511240632806,10.5745212323064,27.4336283185841,36.283185840708,0,6.02272727272727,0,38.8395190799791,51.931330472103
20,209,"20209042100","Census Tract 421, Wyandotte County, Kansas",1004,192,179,93,110,44,62,87,0,24,0,0,4,0,396,9,312,0,10,0,86,0,31806,25300,1718,650,198,57,1724,198,"Census Tract 421, Wyandotte County, Kansas","20209042100","KANSAS CITY, MO-KS",36.9521912350598,20.2191235059761,10.5577689243028,27.5862068965517,0,4.59770114942529,1.27118644067797,0,37.8346915017462,28.7878787878788
20,209,"20209043301","Census Tract 433.01, Wyandotte County, Kansas",1676,221,136,287,364,102,217,374,33,77,69,26,58,31,796,30,676,14,196,17,147,21,35027,14828,2515,472,687,423,2515,687,"Census Tract 433.01, Wyandotte County, Kansas","20209043301","KANSAS CITY, MO-KS",21.3007159904535,38.8424821002387,19.0334128878282,29.4117647058824,25.4010695187166,23.7967914438503,2.98913043478261,11.0787172011662,18.7673956262425,61.5720524017467
20,209,"20209041800","Census Tract 418, Wyandotte County, Kansas",176,53,59,3,16,11,2,411,48,67,106,65,6,0,37,6,73,0,122,32,98,20,9406,10865,248,105,560,264,248,560,"Census Tract 418, Wyandotte County, Kansas","20209041800","KANSAS CITY, MO-KS",63.6363636363636,10.7954545454545,7.38636363636364,27.9805352798054,41.6058394160584,1.45985401459854,5.45454545454545,23.6363636363636,42.3387096774194,47.1428571428571
20,209,"20209043802","Census Tract 438.02, Wyandotte County, Kansas",833,122,181,153,109,72,82,0,0,0,0,0,0,0,394,14,299,12,0,0,0,0,57500,NA,1194,131,0,0,1194,0,"Census Tract 438.02, Wyandotte County, Kansas","20209043802","KANSAS CITY, MO-KS",36.374549819928,31.452581032413,18.4873949579832,NA,NA,NA,3.75180375180375,NA,10.9715242881072,NA
20,209,"20209045100","Census Tract 451, Wyandotte County, Kansas",697,168,86,70,32,150,115,341,44,67,63,31,32,7,286,11,272,15,148,33,85,0,29076,27833,1163,478,471,221,1163,471,"Census Tract 451, Wyandotte County, Kansas","20209045100","KANSAS CITY, MO-KS",36.441893830703,14.6341463414634,38.0200860832138,32.5513196480938,27.5659824046921,11.4369501466276,4.6594982078853,14.1630901287554,41.1006018916595,46.9214437367304
20,209,"20209042502","Census Tract 425.02, Wyandotte County, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"Census Tract 425.02, Wyandotte County, Kansas","20209042502","KANSAS CITY, MO-KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,209,"20209044804","Census Tract 448.04, Wyandotte County, Kansas",2345,235,285,436,345,436,477,618,103,60,80,131,148,85,926,53,953,42,312,44,259,0,109006,92844,3487,159,893,0,3515,893,"Census Tract 448.04, Wyandotte County, Kansas","20209044804","KANSAS CITY, MO-KS",22.1748400852878,33.3049040511727,38.9339019189765,26.3754045307443,34.1423948220065,37.7022653721683,5.05588078765301,7.70577933450088,4.55979351878405,0
20,209,"20209043400","Census Tract 434, Wyandotte County, Kansas",1237,250,193,172,206,33,85,74,0,0,14,28,13,13,480,44,435,74,6,0,16,0,45291,43125,1952,291,104,0,1952,104,"Census Tract 434, Wyandotte County, Kansas","20209043400","KANSAS CITY, MO-KS",35.8124494745352,30.5578011317704,9.5392077607114,0,56.7567567567568,35.1351351351351,12.896174863388,0,14.9077868852459,0
20,209,"20209042800","Census Tract 428, Wyandotte County, Kansas",1638,229,329,214,293,52,111,251,70,11,39,131,0,0,558,52,429,66,69,0,142,14,36837,6165,2462,595,821,605,2462,821,"Census Tract 428, Wyandotte County, Kansas","20209042800","KANSAS CITY, MO-KS",34.0659340659341,30.952380952381,9.95115995115995,32.2709163346614,67.7290836653386,0,11.9554204660588,6.63507109004739,24.1673436230707,73.6906211936663
20,209,"20209042700","Census Tract 427, Wyandotte County, Kansas",1362,230,363,101,76,53,58,392,63,97,90,104,23,0,578,37,370,6,132,31,137,0,35049,15492,2435,602,974,628,2435,974,"Census Tract 427, Wyandotte County, Kansas","20209042700","KANSAS CITY, MO-KS",43.5389133627019,12.9955947136564,8.14977973568282,40.8163265306122,49.4897959183673,5.86734693877551,4.53586497890295,11.5241635687732,24.7227926078029,64.476386036961
20,209,"20209043700","Census Tract 437, Wyandotte County, Kansas",1313,270,235,176,270,64,41,97,11,26,33,27,0,0,488,31,443,20,75,0,69,0,54444,32750,1716,204,313,41,1716,313,"Census Tract 437, Wyandotte County, Kansas","20209043700","KANSAS CITY, MO-KS",38.4615384615385,33.968012185834,7.996953541508,38.1443298969072,61.8556701030928,0,5.47798066595059,0,11.8881118881119,13.0990415335463
20,209,"20209044004","Census Tract 440.04, Wyandotte County, Kansas",274,70,32,5,51,5,13,0,0,0,0,0,0,0,94,26,91,21,0,0,0,0,35521,NA,470,218,0,0,470,0,"Census Tract 440.04, Wyandotte County, Kansas","20209044004","KANSAS CITY, MO-KS",37.2262773722628,20.4379562043796,6.56934306569343,NA,NA,NA,25.4054054054054,NA,46.3829787234043,NA
20,209,"20209044003","Census Tract 440.03, Wyandotte County, Kansas",1540,339,288,245,309,75,88,59,10,23,4,10,0,5,550,56,539,12,31,23,27,0,42255,NA,2444,505,112,43,2444,112,"Census Tract 440.03, Wyandotte County, Kansas","20209044003","KANSAS CITY, MO-KS",40.7142857142857,35.974025974026,10.5844155844156,55.9322033898305,23.728813559322,8.47457627118644,6.24426078971533,39.6551724137931,20.6628477905074,38.3928571428571
20,209,"20209041900","Census Tract 419, Wyandotte County, Kansas",991,157,131,137,143,107,75,36,5,3,6,7,11,4,392,32,285,19,18,1,11,0,41797,NA,1478,334,53,8,1486,53,"Census Tract 419, Wyandotte County, Kansas","20209041900","KANSAS CITY, MO-KS",29.0615539858729,28.2542885973764,18.3652875882947,22.2222222222222,36.1111111111111,41.6666666666667,7.53323485967504,3.44827586206897,22.5981055480379,15.0943396226415
20,209,"20209044601","Census Tract 446.01, Wyandotte County, Kansas",1410,316,318,179,124,178,162,206,50,33,64,59,0,0,479,0,461,9,89,17,105,0,46087,33859,1895,177,375,45,1986,385,"Census Tract 446.01, Wyandotte County, Kansas","20209044601","KANSAS CITY, MO-KS",44.9645390070922,21.4893617021277,24.113475177305,40.2912621359223,59.7087378640777,0,0.957446808510638,8.76288659793814,9.34036939313984,12
20,209,"20209041600","Census Tract 416, Wyandotte County, Kansas",1829,183,172,118,236,160,188,289,43,53,19,64,16,40,754,96,493,29,110,8,97,25,42976,27059,2698,608,487,143,2732,487,"Census Tract 416, Wyandotte County, Kansas","20209041600","KANSAS CITY, MO-KS",19.409513395298,19.3548387096774,19.0267905959541,33.2179930795848,28.719723183391,19.3771626297578,10.0240577385726,15.9420289855072,22.5352112676056,29.3634496919918
20,209,"20209044704","Census Tract 447.04, Wyandotte County, Kansas",869,88,117,153,177,125,147,344,38,73,61,85,15,46,296,14,288,9,136,40,100,0,79539,52321,1128,53,511,22,1128,511,"Census Tract 447.04, Wyandotte County, Kansas","20209044704","KANSAS CITY, MO-KS",23.590333716916,37.9746835443038,31.3003452243959,32.2674418604651,42.4418604651163,17.7325581395349,3.93835616438356,16.9491525423729,4.69858156028369,4.30528375733855
20,209,"20209041700","Census Tract 417, Wyandotte County, Kansas",800,134,83,91,110,94,69,224,48,5,35,70,0,7,393,7,293,6,50,12,52,7,35458,14464,1464,304,241,91,1464,241,"Census Tract 417, Wyandotte County, Kansas","20209041700","KANSAS CITY, MO-KS",27.125,25.125,20.375,23.6607142857143,46.875,3.125,1.89504373177843,18.6274509803922,20.7650273224044,37.7593360995851
20,209,"20209044803","Census Tract 448.03, Wyandotte County, Kansas",2976,288,273,470,563,659,596,415,23,30,110,69,81,102,1189,13,1034,46,235,43,214,0,84800,69091,4055,205,699,38,4055,699,"Census Tract 448.03, Wyandotte County, Kansas","20209044803","KANSAS CITY, MO-KS",18.8508064516129,34.7110215053763,42.1706989247312,12.7710843373494,43.1325301204819,44.0963855421687,2.65407107512371,9.57683741648107,5.05548705302096,5.43633762517883
20,209,"20209040200","Census Tract 402, Wyandotte County, Kansas",146,49,15,13,12,7,0,514,112,128,29,104,42,56,90,14,56,6,90,61,194,58,NA,13469,210,83,1030,456,210,1030,"Census Tract 402, Wyandotte County, Kansas","20209040200","KANSAS CITY, MO-KS",43.8356164383562,17.1232876712329,4.79452054794521,46.692607003891,25.875486381323,19.0661478599222,13.6986301369863,41.9014084507042,39.5238095238095,44.2718446601942
20,209,"20209044202","Census Tract 442.02, Wyandotte County, Kansas",1379,255,312,213,215,138,110,957,125,114,224,221,54,116,409,71,348,0,577,53,322,14,53477,47719,1732,107,1749,255,1732,1749,"Census Tract 442.02, Wyandotte County, Kansas","20209044202","KANSAS CITY, MO-KS",41.1167512690355,31.0369833212473,17.9840464104423,24.9738766980146,46.4994775339603,17.7638453500522,9.37912813738441,7.45272525027809,6.17782909930716,14.5797598627787
20,209,"20209045000","Census Tract 450, Wyandotte County, Kansas",1983,335,390,176,306,61,39,59,8,7,25,0,0,16,763,60,692,91,6,6,5,0,33472,NA,3187,838,160,112,3187,160,"Census Tract 450, Wyandotte County, Kansas","20209045000","KANSAS CITY, MO-KS",36.5607665153807,24.3066061522945,5.04286434694907,25.4237288135593,42.3728813559322,27.1186440677966,10.3780068728522,54.5454545454545,26.2943206777534,70
20,209,"20209042400","Census Tract 424, Wyandotte County, Kansas",728,90,94,48,44,40,57,204,47,45,6,20,0,8,294,43,206,0,46,9,32,20,38482,9632,1130,254,306,173,1130,306,"Census Tract 424, Wyandotte County, Kansas","20209042400","KANSAS CITY, MO-KS",25.2747252747253,12.6373626373626,13.3241758241758,45.0980392156863,12.7450980392157,3.92156862745098,8.6,37.1794871794872,22.4778761061947,56.5359477124183
20,209,"20209044900","Census Tract 449, Wyandotte County, Kansas",2658,650,552,255,464,204,152,294,109,96,14,32,4,13,1123,109,875,153,87,7,60,9,50000,72813,3809,428,433,22,3847,489,"Census Tract 449, Wyandotte County, Kansas","20209044900","KANSAS CITY, MO-KS",45.221971407073,27.0504138449962,13.3935289691497,69.7278911564626,15.6462585034014,5.78231292517007,13.1131131131131,10.8843537414966,11.2365450249409,5.08083140877598
20,209,"20209041500","Census Tract 415, Wyandotte County, Kansas",958,202,157,92,118,27,15,220,23,15,30,48,11,53,475,0,292,26,104,40,201,9,39659,20391,1760,450,454,61,1760,468,"Census Tract 415, Wyandotte County, Kansas","20209041500","KANSAS CITY, MO-KS",37.4739039665971,21.9206680584551,4.38413361169102,17.2727272727273,35.4545454545455,29.0909090909091,3.38983050847458,16.0655737704918,25.5681818181818,13.4361233480176
20,209,"20209041000","Census Tract 410, Wyandotte County, Kansas",64,20,6,0,17,0,2,627,94,145,87,121,0,16,20,0,33,4,137,28,256,57,NA,10250,123,22,1048,669,123,1048,"Census Tract 410, Wyandotte County, Kansas","20209041000","KANSAS CITY, MO-KS",40.625,26.5625,3.125,38.1180223285486,33.1738437001595,2.5518341307815,7.54716981132075,21.6284987277354,17.8861788617886,63.8358778625954
20,209,"20209043600","Census Tract 436, Wyandotte County, Kansas",3525,609,443,584,624,184,320,208,50,7,12,52,22,0,1537,102,1342,17,64,6,59,0,51039,33750,5585,689,322,192,5585,322,"Census Tract 436, Wyandotte County, Kansas","20209043600","KANSAS CITY, MO-KS",29.8439716312057,34.2695035460993,14.2978723404255,27.4038461538462,30.7692307692308,10.5769230769231,4.13337964571032,4.8780487804878,12.3366159355416,59.6273291925466
20,209,"20209044603","Census Tract 446.03, Wyandotte County, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"Census Tract 446.03, Wyandotte County, Kansas","20209044603","KANSAS CITY, MO-KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,209,"20209040002","Census Tract 400.02, Wyandotte County, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"Census Tract 400.02, Wyandotte County, Kansas","20209040002","KANSAS CITY, MO-KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,209,"20209044703","Census Tract 447.03, Wyandotte County, Kansas",920,99,146,211,197,99,113,227,43,0,39,63,42,36,340,7,345,29,97,1,96,0,69728,91406,1407,56,323,0,1416,323,"Census Tract 447.03, Wyandotte County, Kansas","20209044703","KANSAS CITY, MO-KS",26.6304347826087,44.3478260869565,23.0434782608696,18.942731277533,44.9339207048458,34.3612334801762,5.25547445255474,0.518134715025907,3.98009950248756,0
20,209,"20209040400","Census Tract 404, Wyandotte County, Kansas",190,13,61,18,44,8,0,868,93,114,145,250,26,71,95,18,89,14,177,12,283,38,30761,31719,519,193,1158,277,553,1158,"Census Tract 404, Wyandotte County, Kansas","20209040400","KANSAS CITY, MO-KS",38.9473684210526,32.6315789473684,4.21052631578947,23.8479262672811,45.5069124423963,11.1751152073733,17.3913043478261,10.8695652173913,37.1868978805395,23.9205526770294
