"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
44,1,"44001030400","Census Tract 304, Bristol County, Rhode Island",2575,32,57,112,281,1034,986,2,0,0,0,0,0,0,1018,42,751,37,0,0,2,2,175375,NA,3952,22,3,3,3952,3,"Census Tract 304, Bristol County, Rhode Island","44001030400","PROVIDENCE-WARWICK-PAWTUCKET, RI",3.45631067961165,15.2621359223301,78.4466019417476,0,0,0,4.46579988694177,100,0.55668016194332,100
44,1,"44001030500","Census Tract 305, Bristol County, Rhode Island",2301,301,356,319,487,251,277,20,20,0,0,0,0,0,871,127,919,39,20,0,0,0,40804,NA,3007,388,20,0,3014,21,"Census Tract 305, Bristol County, Rhode Island","44001030500","PROVIDENCE-WARWICK-PAWTUCKET, RI",28.5528031290743,35.0282485875706,22.9465449804433,100,0,0,9.27374301675978,0,12.9032258064516,0
44,1,"44001030601","Census Tract 306.01, Bristol County, Rhode Island",2553,403,418,311,314,365,513,0,0,0,0,0,0,0,826,40,952,45,0,0,0,0,60000,NA,3313,304,0,0,3447,0,"Census Tract 306.01, Bristol County, Rhode Island","44001030601","PROVIDENCE-WARWICK-PAWTUCKET, RI",32.1582452017235,24.4810027418723,34.3909126517822,NA,NA,NA,4.78065241844769,NA,9.17597343797163,NA
44,1,"44001030602","Census Tract 306.02, Bristol County, Rhode Island",2964,366,440,387,471,482,533,11,2,0,0,0,9,0,992,65,931,79,9,0,0,0,57781,NA,3785,436,9,0,3878,11,"Census Tract 306.02, Bristol County, Rhode Island","44001030602","PROVIDENCE-WARWICK-PAWTUCKET, RI",27.1929824561404,28.9473684210526,34.2442645074224,18.1818181818182,0,81.8181818181818,7.48829953198128,0,11.5191545574637,0
44,1,"44001030300","Census Tract 303, Bristol County, Rhode Island",2960,140,182,239,319,996,999,42,16,16,0,0,7,0,1055,44,977,16,7,0,0,0,122225,NA,4220,78,49,35,4220,49,"Census Tract 303, Bristol County, Rhode Island","44001030300","PROVIDENCE-WARWICK-PAWTUCKET, RI",10.8783783783784,18.8513513513514,67.3986486486486,76.1904761904762,0,16.6666666666667,2.95275590551181,0,1.84834123222749,71.4285714285714
44,1,"44001030100","Census Tract 301, Bristol County, Rhode Island",3110,186,181,266,276,848,1167,10,0,0,0,0,10,0,995,9,1028,27,10,0,0,0,95859,NA,4284,142,27,0,4284,27,"Census Tract 301, Bristol County, Rhode Island","44001030100","PROVIDENCE-WARWICK-PAWTUCKET, RI",11.8006430868167,17.427652733119,64.7909967845659,0,0,100,1.77953534354918,0,3.31465919701214,0
44,1,"44001030901","Census Tract 309.01, Bristol County, Rhode Island",4337,791,715,453,494,672,672,7,7,0,0,0,0,0,1484,110,1665,150,0,0,0,0,83271,NA,5685,255,0,0,5875,7,"Census Tract 309.01, Bristol County, Rhode Island","44001030901","PROVIDENCE-WARWICK-PAWTUCKET, RI",34.7244639151487,21.835370071478,30.9891630159096,100,0,0,8.25658939345824,NA,4.48548812664908,NA
44,1,"44001030200","Census Tract 302, Bristol County, Rhode Island",2099,132,256,181,227,603,561,0,0,0,0,0,0,0,850,64,724,27,0,0,16,0,96307,NA,2805,91,16,0,2818,16,"Census Tract 302, Bristol County, Rhode Island","44001030200","PROVIDENCE-WARWICK-PAWTUCKET, RI",18.4849928537399,19.4378275369223,55.4549785612196,NA,NA,NA,5.78144853875477,0,3.24420677361854,0
44,1,"44001030700","Census Tract 307, Bristol County, Rhode Island",2861,201,302,391,458,428,587,18,0,0,0,0,0,0,944,26,1127,82,0,0,0,0,47550,NA,3873,684,18,0,3873,18,"Census Tract 307, Bristol County, Rhode Island","44001030700","PROVIDENCE-WARWICK-PAWTUCKET, RI",17.581265291856,29.674938832576,35.4771059070255,0,0,0,5.21487204249155,NA,17.6607281177382,0
44,1,"44001030902","Census Tract 309.02, Bristol County, Rhode Island",4685,348,664,399,643,1213,949,181,6,0,14,14,123,0,1423,50,1276,11,143,0,0,0,72500,NA,5644,177,183,28,6109,204,"Census Tract 309.02, Bristol County, Rhode Island","44001030902","PROVIDENCE-WARWICK-PAWTUCKET, RI",21.6008537886873,22.2411953041622,46.1472785485592,3.31491712707182,15.4696132596685,67.9558011049724,2.26009633197481,0,3.13607370659107,15.3005464480874
44,1,"44001030800","Census Tract 308, Bristol County, Rhode Island",2452,215,235,221,396,552,506,113,0,0,13,36,0,25,1289,80,1476,67,18,0,69,0,67764,NA,3063,231,308,235,5308,335,"Census Tract 308, Bristol County, Rhode Island","44001030800","PROVIDENCE-WARWICK-PAWTUCKET, RI",18.3523654159869,25.163132137031,43.1484502446982,0,43.3628318584071,22.1238938053097,5.31645569620253,0,7.54162585700294,76.2987012987013
44,3,"44003021903","Census Tract 219.03, Kent County, Rhode Island",2970,344,411,400,515,508,651,5,2,0,0,3,0,0,941,94,1040,65,0,0,0,0,70597,NA,3655,160,5,0,3655,10,"Census Tract 219.03, Kent County, Rhode Island","44003021903","PROVIDENCE-WARWICK-PAWTUCKET, RI",25.4208754208754,30.8080808080808,39.023569023569,40,60,0,8.02624936900555,NA,4.37756497948016,0
44,3,"44003020602","Census Tract 206.02, Kent County, Rhode Island",2665,514,554,258,446,290,318,1,0,0,0,0,0,0,875,115,969,25,0,0,0,0,55545,NA,3278,556,8,1,3288,8,"Census Tract 206.02, Kent County, Rhode Island","44003020602","PROVIDENCE-WARWICK-PAWTUCKET, RI",40.0750469043152,26.4165103189493,22.8142589118199,0,0,0,7.59219088937093,NA,16.9615619280049,12.5
44,3,"44003020603","Census Tract 206.03, Kent County, Rhode Island",4662,865,829,693,905,496,448,0,0,0,0,0,0,0,1945,239,1780,213,0,0,0,0,58314,NA,6426,194,0,0,6444,3,"Census Tract 206.03, Kent County, Rhode Island","44003020603","PROVIDENCE-WARWICK-PAWTUCKET, RI",36.3363363363363,34.2771342771343,20.2488202488202,NA,NA,NA,12.1342281879195,NA,3.01898537192655,NA
44,3,"44003021002","Census Tract 210.02, Kent County, Rhode Island",3368,346,390,468,453,752,807,92,23,0,14,16,21,16,1178,171,1336,53,58,0,32,0,63094,NA,4123,377,92,2,4206,92,"Census Tract 210.02, Kent County, Rhode Island","44003021002","PROVIDENCE-WARWICK-PAWTUCKET, RI",21.8527315914489,27.3456057007126,46.2885985748219,25,32.6086956521739,40.2173913043478,8.91010342084328,0,9.14382731021101,2.17391304347826
44,3,"44003022000","Census Tract 220, Kent County, Rhode Island",2714,343,452,480,466,360,414,16,8,0,0,0,8,0,920,26,912,46,8,0,0,0,74268,NA,3156,230,16,0,3283,16,"Census Tract 220, Kent County, Rhode Island","44003022000","PROVIDENCE-WARWICK-PAWTUCKET, RI",29.2925571112749,34.8563006632277,28.5187914517318,50,0,50,3.93013100436681,0,7.28770595690748,0
44,3,"44003020500","Census Tract 205, Kent County, Rhode Island",2995,465,608,302,493,288,332,77,0,0,29,11,29,8,857,134,1010,85,58,7,11,0,53542,110603,3935,446,77,0,3942,77,"Census Tract 205, Kent County, Rhode Island","44003020500","PROVIDENCE-WARWICK-PAWTUCKET, RI",35.8263772954925,26.5442404006678,20.7011686143573,0,51.9480519480519,48.0519480519481,11.7300482056776,10.1449275362319,11.3341804320203,0
44,3,"44003021902","Census Tract 219.02, Kent County, Rhode Island",1880,256,320,274,367,225,215,24,0,0,0,0,10,14,734,53,719,36,10,0,14,0,60428,NA,2467,233,52,2,2484,52,"Census Tract 219.02, Kent County, Rhode Island","44003021902","PROVIDENCE-WARWICK-PAWTUCKET, RI",30.6382978723404,34.0957446808511,23.4042553191489,0,0,100,6.12525808671714,0,9.44466963923794,3.84615384615385
44,3,"44003020703","Census Tract 207.03, Kent County, Rhode Island",4684,581,596,645,838,813,860,93,27,0,40,10,0,16,1669,55,1651,124,99,99,10,0,83952,NA,6045,357,160,0,6229,160,"Census Tract 207.03, Kent County, Rhode Island","44003020703","PROVIDENCE-WARWICK-PAWTUCKET, RI",25.1280956447481,31.6609735269001,35.7173356105892,29.0322580645161,53.763440860215,17.2043010752688,5.39156626506024,90.8256880733945,5.90570719602978,0
44,3,"44003021100","Census Tract 211, Kent County, Rhode Island",2945,552,341,465,670,229,370,66,0,0,8,9,10,10,1230,38,1009,16,39,0,10,0,62655,NA,4136,314,66,29,4136,66,"Census Tract 211, Kent County, Rhode Island","44003021100","PROVIDENCE-WARWICK-PAWTUCKET, RI",30.3225806451613,38.5398981324278,20.339558573854,0,25.7575757575758,30.3030303030303,2.41179097811523,0,7.59187620889749,43.9393939393939
44,3,"44003021200","Census Tract 212, Kent County, Rhode Island",2465,412,421,377,559,163,240,39,20,0,1,0,6,12,888,83,966,101,9,0,27,0,52241,NA,3275,239,54,12,3275,54,"Census Tract 212, Kent County, Rhode Island","44003021200","PROVIDENCE-WARWICK-PAWTUCKET, RI",33.7931034482759,37.9716024340771,16.3488843813387,51.2820512820513,2.56410256410256,46.1538461538462,9.92448759439051,0,7.29770992366412,22.2222222222222
44,3,"44003020601","Census Tract 206.01, Kent County, Rhode Island",4232,601,784,479,763,680,582,20,20,0,0,0,0,0,1792,128,1751,183,0,0,0,0,79660,NA,5824,348,20,0,6023,20,"Census Tract 206.01, Kent County, Rhode Island","44003020601","PROVIDENCE-WARWICK-PAWTUCKET, RI",32.726843100189,29.3478260869565,29.820415879017,100,0,0,8.77787186000564,NA,5.97527472527473,0
44,3,"44003021600","Census Tract 216, Kent County, Rhode Island",1107,95,128,129,154,272,270,5,4,0,0,0,0,0,383,23,307,7,4,0,0,0,101940,NA,1325,28,5,1,1346,5,"Census Tract 216, Kent County, Rhode Island","44003021600","PROVIDENCE-WARWICK-PAWTUCKET, RI",20.1445347786811,25.5645889792231,48.9611562782295,80,0,0,4.34782608695652,0,2.11320754716981,20
44,3,"44003021700","Census Tract 217, Kent County, Rhode Island",2991,515,696,458,459,193,166,31,8,23,0,0,0,0,1067,122,962,65,0,0,14,0,58105,NA,3991,269,31,0,3996,35,"Census Tract 217, Kent County, Rhode Island","44003021700","PROVIDENCE-WARWICK-PAWTUCKET, RI",40.4881310598462,30.65864259445,12.0026746907389,100,0,0,9.21636274026614,0,6.7401653720872,0
44,3,"44003020901","Census Tract 209.01, Kent County, Rhode Island",2488,207,197,357,298,565,626,13,13,0,0,0,0,0,979,80,836,63,13,0,0,0,66250,NA,3317,285,13,0,3317,13,"Census Tract 209.01, Kent County, Rhode Island","44003020901","PROVIDENCE-WARWICK-PAWTUCKET, RI",16.2379421221865,26.3263665594855,47.8697749196142,100,0,0,7.87878787878788,0,8.59210129635212,0
44,3,"44003020604","Census Tract 206.04, Kent County, Rhode Island",3661,515,679,711,799,253,451,88,0,55,33,0,0,0,1482,45,1380,117,0,0,55,0,45637,NA,5512,591,122,0,5512,122,"Census Tract 206.04, Kent County, Rhode Island","44003020604","PROVIDENCE-WARWICK-PAWTUCKET, RI",32.6140398798143,41.2455613220432,19.2297186561049,62.5,37.5,0,5.66037735849057,0,10.72206095791,0
44,3,"44003020904","Census Tract 209.04, Kent County, Rhode Island",2128,86,161,143,218,712,765,40,0,0,2,0,14,17,684,18,576,10,14,0,17,0,106042,NA,3012,102,33,0,3045,40,"Census Tract 209.04, Kent County, Rhode Island","44003020904","PROVIDENCE-WARWICK-PAWTUCKET, RI",11.6071428571429,16.9642857142857,69.4078947368421,0,5,77.5,2.22222222222222,0,3.38645418326693,0
44,3,"44003021901","Census Tract 219.01, Kent County, Rhode Island",2365,416,359,341,512,249,353,13,4,0,0,0,0,9,849,16,812,25,0,0,23,0,62244,NA,3102,124,36,0,3102,36,"Census Tract 219.01, Kent County, Rhode Island","44003021901","PROVIDENCE-WARWICK-PAWTUCKET, RI",32.76955602537,36.0676532769556,25.4545454545455,30.7692307692308,0,69.2307692307692,2.4683925346177,0,3.99742101869761,0
44,3,"44003020800","Census Tract 208, Kent County, Rhode Island",3881,550,642,398,703,675,787,7,0,0,0,0,0,0,1433,128,1608,115,0,0,0,0,87217,NA,5605,135,25,7,5611,26,"Census Tract 208, Kent County, Rhode Island","44003020800","PROVIDENCE-WARWICK-PAWTUCKET, RI",30.7137335738212,28.368977067766,37.6707034269518,0,0,0,7.99079250246629,NA,2.4085637823372,28
44,3,"44003020400","Census Tract 204, Kent County, Rhode Island",1880,265,313,292,338,249,145,59,35,10,10,2,2,0,741,81,775,131,63,0,12,0,56996,NA,2526,178,94,26,2539,94,"Census Tract 204, Kent County, Rhode Island","44003020400","PROVIDENCE-WARWICK-PAWTUCKET, RI",30.7446808510638,33.5106382978723,20.9574468085106,76.271186440678,20.3389830508475,3.38983050847458,13.9841688654354,0,7.04671417260491,27.6595744680851
44,3,"44003022201","Census Tract 222.01, Kent County, Rhode Island",4627,367,548,465,657,1239,1250,84,0,0,0,0,44,40,1757,163,1499,152,36,0,40,0,90556,NA,6060,303,85,1,6060,85,"Census Tract 222.01, Kent County, Rhode Island","44003022201","PROVIDENCE-WARWICK-PAWTUCKET, RI",19.7752323319646,24.2489734169008,53.7929543980981,0,0,100,9.67444717444717,0,5,1.17647058823529
44,3,"44003022202","Census Tract 222.02, Kent County, Rhode Island",2979,244,509,471,615,428,512,96,0,0,0,45,36,15,854,25,769,37,31,0,60,0,54657,81089,3450,219,96,0,3598,96,"Census Tract 222.02, Kent County, Rhode Island","44003022202","PROVIDENCE-WARWICK-PAWTUCKET, RI",25.2769385699899,36.4551863041289,31.554212823095,0,46.875,53.125,3.82008626001232,0,6.34782608695652,0
44,3,"44003020101","Census Tract 201.01, Kent County, Rhode Island",4371,378,651,726,834,806,652,134,0,64,31,0,27,12,1654,32,1544,92,27,0,76,0,69464,NA,5781,420,182,0,5847,182,"Census Tract 201.01, Kent County, Rhode Island","44003020101","PROVIDENCE-WARWICK-PAWTUCKET, RI",23.541523678792,35.6897735072066,33.3562113932739,47.7611940298507,23.134328358209,29.1044776119403,3.87742338961851,0,7.26517903476907,0
44,3,"44003021502","Census Tract 215.02, Kent County, Rhode Island",2832,367,327,296,663,419,446,45,33,0,9,0,0,0,1041,165,1159,113,42,0,0,0,65417,NA,3893,403,45,12,3927,45,"Census Tract 215.02, Kent County, Rhode Island","44003021502","PROVIDENCE-WARWICK-PAWTUCKET, RI",24.5056497175141,33.8629943502825,30.5437853107345,73.3333333333333,20,0,12.6363636363636,0,10.3519136912407,26.6666666666667
44,3,"44003020702","Census Tract 207.02, Kent County, Rhode Island",3315,690,520,432,587,454,499,25,5,12,0,0,8,0,1453,45,1114,15,8,0,0,0,79485,NA,4412,210,25,10,4509,25,"Census Tract 207.02, Kent County, Rhode Island","44003020702","PROVIDENCE-WARWICK-PAWTUCKET, RI",36.500754147813,30.7390648567119,28.7481146304676,68,0,32,2.33735878457343,0,4.75974614687217,40
44,3,"44003980000","Census Tract 9800, Kent County, Rhode Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"Census Tract 9800, Kent County, Rhode Island","44003980000","PROVIDENCE-WARWICK-PAWTUCKET, RI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,3,"44003022100","Census Tract 221, Kent County, Rhode Island",4123,567,551,550,674,546,774,50,15,0,0,29,0,0,1456,84,1187,135,0,0,29,0,61536,NA,5270,593,44,0,5474,50,"Census Tract 221, Kent County, Rhode Island","44003022100","PROVIDENCE-WARWICK-PAWTUCKET, RI",27.1161775406258,29.6871210283774,32.0155226776619,30,58,0,8.28603859250851,0,11.2523719165085,0
44,3,"44003021401","Census Tract 214.01, Kent County, Rhode Island",2633,392,449,373,493,372,423,8,0,8,0,0,0,0,924,37,1065,95,13,0,0,0,75906,NA,3503,113,21,8,3510,21,"Census Tract 214.01, Kent County, Rhode Island","44003021401","PROVIDENCE-WARWICK-PAWTUCKET, RI",31.9407519939233,32.8902392707938,30.1936954044816,100,0,0,6.63650075414781,0,3.2258064516129,38.0952380952381
44,3,"44003021001","Census Tract 210.01, Kent County, Rhode Island",1786,237,306,241,276,162,273,54,5,13,19,8,0,4,676,28,638,47,24,0,8,0,66875,NA,2415,187,54,4,2452,54,"Census Tract 210.01, Kent County, Rhode Island","44003021001","PROVIDENCE-WARWICK-PAWTUCKET, RI",30.4031354983203,28.9473684210526,24.3561030235162,33.3333333333333,50,7.40740740740741,5.70776255707763,0,7.74327122153209,7.40740740740741
44,3,"44003021800","Census Tract 218, Kent County, Rhode Island",2837,444,385,414,716,349,343,48,0,0,10,8,0,30,1102,76,1057,45,10,0,14,0,72457,NA,4028,210,48,0,4028,48,"Census Tract 218, Kent County, Rhode Island","44003021800","PROVIDENCE-WARWICK-PAWTUCKET, RI",29.2210081071554,39.8308071906944,24.391963341558,0,37.5,62.5,5.60444650301065,0,5.21350546176763,0
44,3,"44003020300","Census Tract 203, Kent County, Rhode Island",3568,797,605,337,602,335,234,98,0,17,69,0,11,0,1554,254,1469,157,80,14,17,0,34014,15915,5434,1734,151,26,5449,151,"Census Tract 203, Kent County, Rhode Island","44003020300","PROVIDENCE-WARWICK-PAWTUCKET, RI",39.2937219730942,26.317264573991,15.9473094170404,17.3469387755102,70.4081632653061,11.2244897959184,13.5957657955673,14.4329896907216,31.9101950680898,17.2185430463576
44,3,"44003022300","Census Tract 223, Kent County, Rhode Island",2823,269,407,506,339,349,429,1,0,1,0,0,0,0,906,29,685,1,0,0,0,0,51250,NA,3552,418,1,0,3552,1,"Census Tract 223, Kent County, Rhode Island","44003022300","PROVIDENCE-WARWICK-PAWTUCKET, RI",23.9461565710237,29.9326957137797,27.5593340417995,100,0,0,1.88560653676933,NA,11.768018018018,0
44,3,"44003020701","Census Tract 207.01, Kent County, Rhode Island",1300,245,182,172,230,144,243,46,0,0,35,6,0,0,439,6,417,0,35,0,11,0,75865,NA,1678,76,46,0,1713,46,"Census Tract 207.01, Kent County, Rhode Island","44003020701","PROVIDENCE-WARWICK-PAWTUCKET, RI",32.8461538461538,30.9230769230769,29.7692307692308,0,89.1304347826087,0,0.700934579439252,0,4.52920143027414,0
44,3,"44003022400","Census Tract 224, Kent County, Rhode Island",1647,212,197,235,251,275,401,6,6,0,0,0,0,0,646,71,618,18,6,0,0,0,75625,NA,2243,39,6,0,2248,6,"Census Tract 224, Kent County, Rhode Island","44003022400","PROVIDENCE-WARWICK-PAWTUCKET, RI",24.8330297510625,29.5081967213115,41.0443230115361,100,0,0,7.04113924050633,0,1.73874275523852,0
44,3,"44003020200","Census Tract 202, Kent County, Rhode Island",2969,460,454,592,561,291,308,64,8,0,0,10,10,35,1061,106,986,51,18,0,35,0,41250,NA,3765,630,75,1,3765,75,"Census Tract 202, Kent County, Rhode Island","44003020200","PROVIDENCE-WARWICK-PAWTUCKET, RI",30.7847760188616,38.8346244526777,20.1751431458403,12.5,15.625,70.3125,7.66976062530532,0,16.7330677290837,1.33333333333333
44,3,"44003021300","Census Tract 213, Kent County, Rhode Island",3481,523,451,337,658,577,778,109,0,0,0,20,40,49,981,65,1133,103,114,0,49,0,74488,NA,4390,203,196,20,4390,196,"Census Tract 213, Kent County, Rhode Island","44003021300","PROVIDENCE-WARWICK-PAWTUCKET, RI",27.9804653835105,28.5837403045102,38.9255960930767,0,18.348623853211,81.651376146789,7.94701986754967,0,4.62414578587699,10.2040816326531
44,3,"44003020903","Census Tract 209.03, Kent County, Rhode Island",3789,273,433,210,278,1313,1233,24,0,4,0,0,0,0,1541,50,1117,65,0,0,24,20,141563,NA,5758,55,24,4,5758,24,"Census Tract 209.03, Kent County, Rhode Island","44003020903","PROVIDENCE-WARWICK-PAWTUCKET, RI",18.6328846661388,12.8793877012404,67.1945104249142,16.6666666666667,0,0,4.32656132430399,83.3333333333333,0.955192775269191,16.6666666666667
44,3,"44003021402","Census Tract 214.02, Kent County, Rhode Island",2494,422,332,319,515,392,315,83,11,42,20,0,0,0,991,52,1050,134,41,0,40,0,67419,NA,3385,234,147,0,3385,147,"Census Tract 214.02, Kent County, Rhode Island","44003021402","PROVIDENCE-WARWICK-PAWTUCKET, RI",30.2325581395349,33.4402566158781,28.3480352846832,63.855421686747,24.0963855421687,0,9.11317981381676,0,6.91285081240768,0
44,3,"44003020102","Census Tract 201.02, Kent County, Rhode Island",3438,571,575,527,922,279,205,108,0,28,61,19,0,0,1316,95,1395,75,61,0,19,0,54375,28996,4539,907,125,25,4654,125,"Census Tract 201.02, Kent County, Rhode Island","44003020102","PROVIDENCE-WARWICK-PAWTUCKET, RI",33.3333333333333,42.1465968586387,14.0779522978476,25.9259259259259,74.0740740740741,0,6.27074880118038,0,19.9823749724609,20
44,3,"44003021501","Census Tract 215.01, Kent County, Rhode Island",2102,289,292,307,340,319,358,45,0,0,0,0,10,32,793,50,761,32,0,0,22,0,68866,89750,2843,222,48,0,2883,48,"Census Tract 215.01, Kent County, Rhode Island","44003021501","PROVIDENCE-WARWICK-PAWTUCKET, RI",27.6403425309229,30.7802093244529,32.2074215033302,0,0,93.3333333333333,5.27670527670528,0,7.808652831516,0
44,5,"44005040400","Census Tract 404, Newport County, Rhode Island",4371,288,535,362,597,1264,1065,60,19,33,0,0,0,0,1440,34,1517,175,19,0,0,0,72644,NA,5871,287,92,0,6063,108,"Census Tract 404, Newport County, Rhode Island","44005040400","PROVIDENCE-WARWICK-PAWTUCKET, RI",18.8286433310455,21.9400594829558,53.2830016014642,86.6666666666667,0,0,7.06797429827528,0,4.88843467893034,0
44,5,"44005041602","Census Tract 416.02, Newport County, Rhode Island",3401,431,456,426,546,599,660,47,20,13,0,0,8,6,979,107,1088,34,50,22,13,0,74159,NA,4089,226,113,0,4118,113,"Census Tract 416.02, Newport County, Rhode Island","44005041602","PROVIDENCE-WARWICK-PAWTUCKET, RI",26.0805645398412,28.579829461923,37.0185239635401,70.2127659574468,0,29.7872340425532,6.82148040638607,34.9206349206349,5.52702372218146,0
44,5,"44005041000","Census Tract 410, Newport County, Rhode Island",1235,87,208,122,110,364,310,58,0,0,0,25,6,10,584,49,465,13,0,0,25,0,61713,NA,1466,332,58,15,1514,58,"Census Tract 410, Newport County, Rhode Island","44005041000","PROVIDENCE-WARWICK-PAWTUCKET, RI",23.8866396761134,18.7854251012146,54.5748987854251,0,43.1034482758621,27.5862068965517,5.91039084842707,0,22.6466575716235,25.8620689655172
44,5,"44005041100","Census Tract 411, Newport County, Rhode Island",1010,61,118,29,147,334,315,38,0,18,0,10,0,0,315,24,319,9,0,0,18,0,72125,2499,1190,101,47,29,1190,47,"Census Tract 411, Newport County, Rhode Island","44005041100","PROVIDENCE-WARWICK-PAWTUCKET, RI",17.7227722772277,17.4257425742574,64.2574257425743,47.3684210526316,26.3157894736842,0,5.20504731861199,0,8.48739495798319,61.7021276595745
44,5,"44005040303","Census Tract 403.03, Newport County, Rhode Island",1483,227,161,221,298,215,274,257,32,10,39,80,53,25,543,14,545,54,103,16,101,21,67639,NA,2029,273,452,171,2031,454,"Census Tract 403.03, Newport County, Rhode Island","44005040303","PROVIDENCE-WARWICK-PAWTUCKET, RI",26.1631827376939,34.9966284558328,32.9737019554956,16.3424124513619,46.3035019455253,30.3501945525292,6.25,18.1372549019608,13.4549038935436,37.8318584070796
44,5,"44005040304","Census Tract 403.04, Newport County, Rhode Island",1811,301,321,185,302,202,308,75,9,0,41,21,0,0,663,30,649,33,0,0,41,0,63071,NA,2436,286,131,45,2473,131,"Census Tract 403.04, Newport County, Rhode Island","44005040304","PROVIDENCE-WARWICK-PAWTUCKET, RI",34.3456653782441,26.891220320265,28.1612368856985,12,82.6666666666667,0,4.80182926829268,0,11.7405582922824,34.3511450381679
44,5,"44005040900","Census Tract 409, Newport County, Rhode Island",2746,154,249,165,348,836,884,41,0,11,8,0,19,0,1014,62,1229,69,27,0,0,0,79531,NA,3569,138,38,0,4684,47,"Census Tract 409, Newport County, Rhode Island","44005040900","PROVIDENCE-WARWICK-PAWTUCKET, RI",14.6758922068463,18.6817188638019,62.6365622723962,26.8292682926829,19.5121951219512,46.3414634146341,5.84039233169862,0,3.86662930792939,0
44,5,"44005040700","Census Tract 407, Newport County, Rhode Island",2479,252,199,240,307,585,802,29,0,11,0,0,11,0,1000,25,938,15,11,0,0,0,87500,NA,3121,251,61,39,3121,61,"Census Tract 407, Newport County, Rhode Island","44005040700","PROVIDENCE-WARWICK-PAWTUCKET, RI",18.192819685357,22.0653489310206,55.9499798305768,37.9310344827586,0,37.9310344827586,2.0639834881321,0,8.04229413649471,63.9344262295082
44,5,"44005041601","Census Tract 416.01, Newport County, Rhode Island",2389,485,479,333,314,283,213,0,0,0,0,0,0,0,993,62,707,106,0,0,0,0,57153,NA,3026,293,0,0,3037,0,"Census Tract 416.01, Newport County, Rhode Island","44005041601","PROVIDENCE-WARWICK-PAWTUCKET, RI",40.351611552951,27.0824612808707,20.7618250313939,NA,NA,NA,9.88235294117647,NA,9.6827495042961,NA
44,5,"44005040101","Census Tract 401.01, Newport County, Rhode Island",3384,417,453,482,446,682,660,45,23,5,8,0,0,0,1372,153,1061,66,23,23,0,0,72083,NA,4628,348,45,0,4832,46,"Census Tract 401.01, Newport County, Rhode Island","44005040101","PROVIDENCE-WARWICK-PAWTUCKET, RI",25.709219858156,27.4231678486998,39.6572104018912,62.2222222222222,17.7777777777778,0,9.00123304562269,100,7.51944684528954,0
44,5,"44005041400","Census Tract 414, Newport County, Rhode Island",2619,261,196,387,434,657,616,39,0,0,0,9,25,5,852,31,743,61,19,0,9,0,73594,NA,3389,348,39,0,3389,39,"Census Tract 414, Newport County, Rhode Island","44005041400","PROVIDENCE-WARWICK-PAWTUCKET, RI",17.4494081710577,31.3478426880489,48.6063382970599,0,23.0769230769231,76.9230769230769,5.76802507836991,0,10.2685157863677,0
44,5,"44005040600","Census Tract 406, Newport County, Rhode Island",2374,269,128,323,293,470,814,254,29,29,28,18,87,63,1213,140,1151,25,101,0,30,0,65203,NA,3277,348,313,8,3281,313,"Census Tract 406, Newport County, Rhode Island","44005040600","PROVIDENCE-WARWICK-PAWTUCKET, RI",16.7228306655434,25.9477674810446,54.0859309182814,22.8346456692913,18.1102362204724,59.0551181102362,6.97969543147208,0,10.6194690265487,2.55591054313099
44,5,"44005040302","Census Tract 403.02, Newport County, Rhode Island",1556,178,235,247,248,286,278,58,0,0,8,33,0,16,612,32,411,18,39,0,42,0,56700,29453,2071,84,98,1,2071,98,"Census Tract 403.02, Newport County, Rhode Island","44005040302","PROVIDENCE-WARWICK-PAWTUCKET, RI",26.5424164524422,31.8123393316195,36.2467866323907,0,70.6896551724138,27.5862068965517,4.88758553274682,0,4.05601158860454,1.02040816326531
44,5,"44005990000","Census Tract 9900, Newport County, Rhode Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"Census Tract 9900, Newport County, Rhode Island","44005990000","PROVIDENCE-WARWICK-PAWTUCKET, RI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
