"st","cty","GEOID","NAME","whtEdU","whtEdhsMal","whtEdhsFem","whtEdSmclMal","whtEdSmclFem","whtEdBachMal","whtEdBachFem","blkEdU","blkEdhsMal","blkEdhsFem","blkEdSmclMal","blkEdSmclFem","blkEdBachMal","blkEdBachFem","whtLabForceMal","whtUnempMal","whtLabForceFem","whtUnempFem","blkLabForceMal","blkUnempMal","blkLabForceFem","blkUnempFem","whtInc","blkInc","whtPovU","whtBlPov","blkPovU","blkBlPov","racWht","racBlk","NAME1","GEOID1","city","whtHS","whtSmcl","whtBach","blkHS","blkSmcl","blkBach","whtUnemp","blkUnemp","whtPctBlPov","blkPctBlPov"
39,129,"39129021300","Census Tract 213, Pickaway County, Ohio",1909,901,0,347,0,56,0,1074,350,0,355,0,11,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,2154,1296,"Census Tract 213, Pickaway County, Ohio","39129021300","COLUMBUS, OH",47.1974855945521,18.1770560502881,2.93347302252488,32.5884543761639,33.0540037243948,1.02420856610801,NA,NA,NA,NA
39,129,"39129021700","Census Tract 217, Pickaway County, Ohio",3272,810,699,398,426,186,368,0,0,0,0,0,0,0,1127,55,1140,86,0,0,8,8,66975,NA,4660,412,37,0,4713,37,"Census Tract 217, Pickaway County, Ohio","39129021700","COLUMBUS, OH",46.1185819070905,25.1833740831296,16.9315403422983,NA,NA,NA,6.21967357741509,100,8.8412017167382,0
39,129,"39129021402","Census Tract 214.02, Pickaway County, Ohio",4135,686,799,751,733,381,348,4,0,0,0,0,4,0,1873,77,1437,59,4,0,0,0,76905,NA,6345,374,4,0,6355,4,"Census Tract 214.02, Pickaway County, Ohio","39129021402","COLUMBUS, OH",35.912938331318,35.8887545344619,17.6299879081016,0,0,100,4.10876132930514,0,5.89440504334121,0
39,129,"39129021500","Census Tract 215, Pickaway County, Ohio",2287,585,446,241,349,182,279,0,0,0,0,0,0,0,966,24,893,61,0,0,0,0,78891,NA,3424,135,0,0,3465,0,"Census Tract 215, Pickaway County, Ohio","39129021500","COLUMBUS, OH",45.080891998251,25.7979886313948,20.157411456056,NA,NA,NA,4.57235072619688,NA,3.94275700934579,NA
39,129,"39129020100","Census Tract 201, Pickaway County, Ohio",1189,234,271,173,127,19,93,34,0,3,16,9,0,0,463,64,334,43,8,0,7,0,37783,NA,1566,351,74,17,1657,74,"Census Tract 201, Pickaway County, Ohio","39129020100","COLUMBUS, OH",42.4726661059714,25.2312867956266,9.41968040370059,8.82352941176471,73.5294117647059,0,13.4253450439147,0,22.4137931034483,22.972972972973
39,129,"39129020320","Census Tract 203.20, Pickaway County, Ohio",2297,514,448,248,254,303,405,53,16,0,9,4,0,0,782,24,799,23,0,0,4,0,67617,NA,3315,387,18,14,3433,218,"Census Tract 203.20, Pickaway County, Ohio","39129020320","COLUMBUS, OH",41.8807139747497,21.8545929473226,30.822812363953,30.188679245283,24.5283018867925,0,2.97280202403542,0,11.6742081447964,77.7777777777778
39,129,"39129021600","Census Tract 216, Pickaway County, Ohio",2214,588,512,190,326,156,205,0,0,0,0,0,0,0,771,47,667,48,0,0,0,0,51286,NA,3259,605,0,0,3268,0,"Census Tract 216, Pickaway County, Ohio","39129021600","COLUMBUS, OH",49.6838301716351,23.3062330623306,16.3053297199639,NA,NA,NA,6.60639777468707,NA,18.5639766799632,NA
39,129,"39129021200","Census Tract 212, Pickaway County, Ohio",4790,973,1084,547,850,412,453,40,7,0,0,0,0,0,2002,77,1850,177,5,0,0,0,57123,NA,7288,822,40,2,7313,40,"Census Tract 212, Pickaway County, Ohio","39129021200","COLUMBUS, OH",42.9436325678497,29.1649269311065,18.0584551148225,17.5,0,0,6.59397715472482,0,11.2788144895719,5
39,129,"39129020400","Census Tract 204, Pickaway County, Ohio",1571,319,415,219,228,60,84,3,3,0,0,0,0,0,552,97,545,24,0,0,0,0,38529,NA,2158,312,0,0,2221,3,"Census Tract 204, Pickaway County, Ohio","39129020400","COLUMBUS, OH",46.7218332272438,28.453214513049,9.16613621896881,100,0,0,11.0300820419325,NA,14.4578313253012,NA
39,129,"39129021401","Census Tract 214.01, Pickaway County, Ohio",2406,567,449,347,418,151,197,0,0,0,0,0,0,0,906,86,857,32,0,0,0,0,69464,NA,3337,308,0,0,3353,0,"Census Tract 214.01, Pickaway County, Ohio","39129021401","COLUMBUS, OH",42.2277639235245,31.7955112219451,14.4638403990025,NA,NA,NA,6.69313669880885,NA,9.22984716811507,NA
39,129,"39129020310","Census Tract 203.10, Pickaway County, Ohio",3573,702,834,462,447,300,324,38,8,21,0,5,0,0,1150,76,1115,111,0,0,0,0,43475,NA,4757,1000,21,5,4959,38,"Census Tract 203.10, Pickaway County, Ohio","39129020310","COLUMBUS, OH",42.9890848026868,25.4408060453401,17.4643157010915,76.3157894736842,13.1578947368421,0,8.2560706401766,NA,21.0216523018709,23.8095238095238
39,129,"39129020200","Census Tract 202, Pickaway County, Ohio",1770,350,504,228,200,69,48,41,7,2,25,7,0,0,548,39,564,76,14,2,7,0,29120,NA,2685,700,43,8,2702,43,"Census Tract 202, Pickaway County, Ohio","39129020200","COLUMBUS, OH",48.2485875706215,24.180790960452,6.61016949152542,21.9512195121951,78.0487804878049,0,10.341726618705,9.52380952380952,26.0707635009311,18.6046511627907
39,129,"39129021100","Census Tract 211, Pickaway County, Ohio",5390,1044,1372,590,495,695,817,37,0,1,0,0,20,8,1861,76,1638,32,20,0,9,1,74347,NA,7481,631,51,1,7639,69,"Census Tract 211, Pickaway County, Ohio","39129021100","COLUMBUS, OH",44.8237476808905,20.1298701298701,28.051948051948,2.7027027027027,0,75.6756756756757,3.08659617033438,3.44827586206897,8.43470124314931,1.96078431372549
39,41,"39041011760","Census Tract 117.60, Delaware County, Ohio",3272,477,561,381,413,606,658,35,0,0,22,6,0,7,1260,53,1211,47,14,0,13,0,85781,48438,4628,206,35,0,4628,35,"Census Tract 117.60, Delaware County, Ohio","39041011760","COLUMBUS, OH",31.7237163814181,24.2665036674817,38.6308068459658,0,80,20,4.04694455685957,0,4.45116681071737,0
39,41,"39041011900","Census Tract 119, Delaware County, Ohio",2999,94,223,279,457,1050,864,153,0,61,12,22,52,6,1274,29,1009,50,57,0,15,0,114219,86856,4574,302,269,0,4574,269,"Census Tract 119, Delaware County, Ohio","39041011900","COLUMBUS, OH",10.5701900633545,24.541513837946,63.8212737579193,39.8692810457516,22.2222222222222,37.9084967320261,3.46035917652212,0,6.60253607345868,0
39,41,"39041011762","Census Tract 117.62, Delaware County, Ohio",3700,253,467,332,435,1124,1069,138,0,0,15,17,49,57,1287,20,1062,27,64,0,65,0,100595,164130,5079,157,161,0,5079,161,"Census Tract 117.62, Delaware County, Ohio","39041011762","COLUMBUS, OH",19.4594594594595,20.7297297297297,59.2702702702703,0,23.1884057971014,76.8115942028985,2.00085142613878,0,3.09115967710179,0
39,41,"39041011604","Census Tract 116.04, Delaware County, Ohio",3628,419,391,436,447,805,1034,33,0,0,8,10,15,0,1451,27,1505,29,23,0,6,0,94236,102232,5641,136,50,4,5643,50,"Census Tract 116.04, Delaware County, Ohio","39041011604","COLUMBUS, OH",22.3263506063947,24.3384785005513,50.6890848952591,0,54.5454545454545,45.4545454545455,1.89445196211096,0,2.41092004963659,8
